ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
45841000033119	35901211000001108	Amitriptyline 25mg modified-release capsules	Amitriptyline 25mg modified-release capsules	Amitriptyline hydrochloride	25.000mg	Modified-release capsule	Oral	04030100	82998
45941000033110	35901511000001106	Amitriptyline 50mg modified-release capsules	Amitriptyline 50mg modified-release capsules	Amitriptyline hydrochloride	50.000mg	Modified-release capsule	Oral	04030100	59393
55441000033119	35901411000001107	Amitriptyline 25mg/5ml oral solution sugar free	Amitriptyline 25mg/5ml oral solution sugar free	Amitriptyline hydrochloride	5.000mg/1.000ml	Oral solution	Oral	04030100	173150
55541000033118	35901611000001105	Amitriptyline 50mg/5ml oral solution sugar free	Amitriptyline 50mg/5ml oral solution sugar free	Amitriptyline hydrochloride	10.000mg/1.000ml	Oral solution	Oral	04030100	60909
60441000033116	42291111000001104	Amitriptyline 10mg tablets	Amitriptyline 10mg tablets	Amitriptyline hydrochloride	10.000mg	Tablet/ Oral Tablet	Oral	04030100	45209647
60541000033115	42291311000001102	Amitriptyline 50mg tablets	Amitriptyline 50mg tablets	Amitriptyline hydrochloride	50.000mg	Tablet/ Oral Tablet	Oral	04030100	12208323
60641000033119	42291211000001105	Amitriptyline 25mg tablets	Amitriptyline 25mg tablets	Amitriptyline hydrochloride	25.000mg	Tablet/ Oral Tablet	Oral	04030100	22790875
60941000033114	42268011000001108	Amoxapine 50mg tablets	Amoxapine 50mg tablets	Amoxapine	50.000mg	Tablet/ Oral Tablet	Oral	04030100	10417
61041000033116	42206311000001108	Amoxapine 100mg tablets	Amoxapine 100mg tablets	Amoxapine	100.000mg	Tablet/ Oral Tablet	Oral	04030100	4232
259241000033111	42269411000001107	Citalopram 20mg tablets	Citalopram 20mg tablets	Citalopram hydrobromide	20.000mg	Tablet/ Oral Tablet	Oral	04030300	51998074
262041000033115	42269711000001101	Clomipramine 10mg capsules	Clomipramine 10mg capsules	Clomipramine hydrochloride	10.000mg	Capsule/ Oral capsule	Oral	04030100	716372
262141000033116	42269811000001109	Clomipramine 25mg capsules	Clomipramine 25mg capsules	Clomipramine hydrochloride	25.000mg	Capsule/ Oral capsule	Oral	04030100	1083654
262241000033111	42269911000001104	Clomipramine 50mg capsules	Clomipramine 50mg capsules	Clomipramine hydrochloride	50.000mg	Capsule/ Oral capsule	Oral	04030100	1103769
284741000033110	4557811000001105	Clomipramine 25mg/5ml oral solution	Clomipramine 25mg/5ml oral solution	Clomipramine hydrochloride	5.000mg/1.000ml	Oral solution	Oral	04030100	7514
285741000033111	36089111000001109	Clomipramine 75mg modified-release tablets	Clomipramine 75mg modified-release tablets	Clomipramine hydrochloride	75.000mg	Modified-release tablet	Oral	04030100	182222
473041000033119	42270811000001106	Doxepin 10mg capsules	Doxepin 10mg capsules	Doxepin hydrochloride	10.000mg	Capsule/ Oral capsule	Oral	04030100	98027
473141000033115	42270911000001101	Doxepin 25mg capsules	Doxepin 25mg capsules	Doxepin hydrochloride	25.000mg	Capsule/ Oral capsule	Oral	04030100	309061
473241000033110	42271011000001109	Doxepin 50mg capsules	Doxepin 50mg capsules	Doxepin hydrochloride	50.000mg	Capsule/ Oral capsule	Oral	04030100	165903
473341000033117	42271111000001105	Doxepin 75mg capsules	Doxepin 75mg capsules	Doxepin hydrochloride	75.000mg	Capsule/ Oral capsule	Oral	04030100	59316
577841000033114	42271711000001106	Fluoxetine 20mg capsules	Fluoxetine 20mg capsules	Fluoxetine hydrochloride	20.000mg	Capsule/ Oral capsule	Oral	04030300	46566071
579041000033111	42272011000001101	Fluoxetine 60mg capsules	Fluoxetine 60mg capsules	Fluoxetine hydrochloride	60.000mg	Capsule/ Oral capsule	Oral	04030300	625536
592841000033116	42272411000001105	Fluvoxamine 100mg tablets	Fluvoxamine 100mg tablets	Fluvoxamine maleate	100.000mg	Tablet/ Oral Tablet	Oral	04030300	145093
595541000033113	42272511000001109	Fluvoxamine 50mg tablets	Fluvoxamine 50mg tablets	Fluvoxamine maleate	50.000mg	Tablet/ Oral Tablet	Oral	04030300	169709
754241000033115	42295411000001107	Imipramine 25mg tablets	Imipramine 25mg tablets	Imipramine hydrochloride	25.000mg	Tablet/ Oral Tablet	Oral	04030100	1569643
755541000033119	42295311000001100	Imipramine 10mg tablets	Imipramine 10mg tablets	Imipramine hydrochloride	10.000mg	Tablet/ Oral Tablet	Oral	04030100	431587
787141000033110	42273411000001101	Isocarboxazid 10mg tablets	Isocarboxazid 10mg tablets	Isocarboxazid	10.000mg	Tablet/ Oral Tablet	Oral	04030200	25820
849241000033115	36040411000001100	Lofepramine 70mg/5ml oral suspension sugar free	Lofepramine 70mg/5ml oral suspension sugar free	Lofepramine hydrochloride	14.000mg/1.000ml	Oral suspension	Oral	04030100	33027
850141000033116	39699211000001104	Lofepramine 70mg tablets	Lofepramine 70mg tablets	Lofepramine hydrochloride	70.000mg	Tablet/ Oral Tablet	Oral	04030100	3532400
870441000033114	42273711000001107	Maprotiline 10mg tablets	Maprotiline 10mg tablets	Maprotiline hydrochloride	10.000mg	Tablet/ Oral Tablet	Oral	04030100	3712
870741000033119	42273811000001104	Maprotiline 25mg tablets	Maprotiline 25mg tablets	Maprotiline hydrochloride	25.000mg	Tablet/ Oral Tablet	Oral	04030100	13917
870841000033112	42273911000001109	Maprotiline 50mg tablets	Maprotiline 50mg tablets	Maprotiline hydrochloride	50.000mg	Tablet/ Oral Tablet	Oral	04030100	8510
870941000033116	42274011000001107	Maprotiline 75mg tablets	Maprotiline 75mg tablets	Maprotiline hydrochloride	75.000mg	Tablet/ Oral Tablet	Oral	04030100	13053
917541000033110	42274111000001108	Mianserin 10mg tablets	Mianserin 10mg tablets	Mianserin hydrochloride	10.000mg	Tablet/ Oral Tablet	Oral	04030100	93855
917641000033111	42274211000001102	Mianserin 20mg tablets	Mianserin 20mg tablets	Mianserin hydrochloride	20.000mg	Tablet/ Oral Tablet	Oral	04030100	34740
917741000033119	42274311000001105	Mianserin 30mg tablets	Mianserin 30mg tablets	Mianserin hydrochloride	30.000mg	Tablet/ Oral Tablet	Oral	04030100	122849
