MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1776248011	3380662	N05-1	N05..11	Osteoarthritis	396275006	1776248011	32
221521000000114	3015168	N05z6-1	N05z611	Osteoarthritis of knee	239873007	359420013	32
310024016	1433000	N05zL	N05zL00	Osteoarthritis NOS, of knee	239873007	359420013	32
41261000006115	1258745	N05	N05..00	Osteoarthritis and allied disorders	396275006	1776248011	32
221511000000115	943045	N05z5-1	N05z511	Osteoarthritis of hip	239872002	359419019	32
41281000006113	609680	N05z	N05z.00	Osteoarthritis NOS	396275006	1776248011	32
400187015	573093	N05z6	N05z600	Osteoarthritis NOS, of the lower leg	396275006	1776248011	32
310020013	502756	N05zJ	N05zJ00	Osteoarthritis NOS, of hip	239872002	359419019	32
400182014	262622	N05zz	N05zz00	Osteoarthritis NOS	396275006	1776248011	32
889921000006110	164422	N05z6-99	N05z699	Osteoarthritis - knee joint	637091000000105	889921000006110	32
18181000006118	139683	N11-2	N11..12	Osteoarthritis of spine	8847002	508047017	32
310011016	100570	N05z9	N05z900	Osteoarthritis of shoulder	67315001	1232920019	32
359385016	75866	N05z7-1	N05z711	Osteoarthritis of ankle	239874001	359423010	32
359433019	72548	N11D2	N11D200	Osteoarthritis of lumbar spine	239880009	359433019	32
889911000006119	63916	N05z5-99	N05z599	Osteoarthritis - hip joint	396275006	889911000006119	32
359384017	56403	N05z7-2	N05z712	Osteoarthritis of foot joint	309246000	452614016	32
889861000006112	49160	N0502-99	N050299	Osteoarthritis -multiple joint	201819000	889861000006112	32
508047017	46540	N11D	N11D.00	Osteoarthritis of spine	8847002	508047017	32
219611000000112	45053	N110-2	N110.12	Osteoarthritis cervical spine	387800004	1492276018	32
54641000006115	39286	N05z3-1	N05z311	Osteoarthritis of wrist	239867006	359412011	32
41301000006112	38917	N05zS	N05zS00	Osteoarthritis of first metatarsophalangeal joint	239877008	2983768015	32
310013018	37924	N05zB	N05zB00	Osteoarthritis of acromioclavicular joint	239865003	359408017	32
359383011	36815	N05z7-3	N05z713	Osteoarthritis of toe joint	239878003	359429014	32
310010015	33917	N05z8	N05z800	Osteoarthritis NOS, other specified site	396275006	1776248011	32
310026019	30863	N05zN	N05zN00	Osteoarthritis NOS, of ankle	239874001	359423010	32
359389010	29078	N05z4-1	N05z411	Osteoarthritis of finger	239868001	2920945011	32
310016014	24763	N05zE	N05zE00	Osteoarthritis NOS, of wrist	239867006	359412011	32
1492276018	18726	N11D0	N11D000	Osteoarthritis of cervical spine	387800004	1492276018	32
889901000006117	17664	N05z4-99	N05z499	Osteoarthritis - hand joint	396275006	889901000006117	32
221491000000111	17364	N05z2-1	N05z211	Osteoarthritis of elbow	239866002	359409013	32
18191000006115	16872	N11z-1	N11z.11	Osteoarthritis spine	8847002	508047017	32
400184010	16410	N05z3	N05z300	Osteoarthritis NOS, of the forearm	396275006	1776248011	32
31101000006110	15639	N05zF	N05zF00	Osteoarthritis of metacarpophalangeal joint	275324008	411290018	32
889931000006113	14207	N05z7-99	N05z799	Osteoarthritis - ankle/foot	396275006	889931000006113	32
359402016	12993	N051G	N051G00	Osteoarthritis of spinal facet joint	239863005	359402016	32
310014012	10255	N05zC	N05zC00	Osteoarthritis NOS, of elbow	239866002	359409013	32
5140431000006112	9587	^ESCTOS514043		Osteoarthritis of finger joint	239868001	359414012	32
31031000006115	7841	N05zH	N05zH00	Osteoarthritis of distal interphalangeal joint	239869009	359415013	32
889871000006117	7808	N05z1-99	N05z199	Osteoarthritis -shoulder joint	666441000000103	889871000006117	32
309972017	6958	N054	N054.00	Osteoarthritis of multiple joints	268054009	2692892014	32
1492281010	6208	N11D1	N11D100	Osteoarthritis of thoracic spine	387802007	1492281010	32
18051000006110	5996	N05zG	N05zG00	Osteoarthritis of proximal interphalangeal joint	239870005	359416014	32
310028018	5105	N05zQ	N05zQ00	Osteoarthritis of talonavicular joint	700324005	2989803011	32
400183016	4897	N05z2	N05z200	Osteoarthritis NOS, of the upper arm	396275006	1776248011	32
310027011	3253	N05zP	N05zP00	Osteoarthritis of subtalar joint	239876004	359426019	32
889891000006116	3187	N05z3-99	N05z399	Osteoarthritis - wrist joint	396275006	889891000006116	32
889941000006115	2845	N05z8-99	N05z899	Osteoarthritis - other joint	666451000000100	889941000006115	32
310012011	2468	N05zA	N05zA00	Osteoarthritis of sternoclavicular joint	850791000000102	2204391000000113	32
359420013	2450	ESCTOS1		Osteoarthritis of knee	239873007	1954201000006110	32
309987010	2388	N05z0	N05z000	Osteoarthritis NOS, of unspecified site	396275006	1776248011	32
889881000006119	1608	N05z2-99	N05z299	Osteoarthritis - elbow joint	396275006	889881000006119	32
309983014	1528	N054z	N054z00	Osteoarthritis of more than one site, unspecified, NOS	268054009	2692892014	32
310029014	1512	N05zR	N05zR00	Osteoarthritis NOS, of other tarsal joint	396275006	1776248011	32
31071000006117	1491	N05zU	N05zU00	Osteoarthritis NOS, of IP joint of toe	239878003	359429014	32
8103661000006113	1151	^ESCTOS810366		Osteoarthritis of right knee joint	323321000119100	3321148011	31
2476044012	1132	N11D3	N11D300	Osteoarthritis of spine NOS	8847002	508047017	32
8103651000006111	1055	^ESCTOS810365		Osteoarthritis of right hip joint	323311000119107	3320874012	31
8103621000006119	1013	^ESCTOS810362		Osteoarthritis of left knee joint	323301000119109	3320853011	31
8103611000006110	721	^ESCTOS810361		Osteoarthritis of left hip joint	323291000119108	3313473014	31
31091000006116	574	N05zT	N05zT00	Osteoarthritis NOS, of lesser MTP joint	239878003	359429014	32
2853461000006115	370	^ESCTOS285346		Osteoarthritis - hand joint	22193007	1784870010	32
31041000006113	273	N05zD	N05zD00	Osteoarthritis NOS, of distal radio-ulnar joint	396275006	1776248011	32
18121000006117	243	N05zM	N05zM00	Osteoarthritis NOS, of tibio-fibular joint	396275006	1776248011	32
6383391000006113	229	^ESCTOS638339		Osteoarthritis of glenohumeral joint	373623009	1212087011	31
989361000006114	184	N05zJ-99	N05zJ99	Osteoarthritis - hip joint	587231000000100	989361000006114	32
3110361000006110	155	^ESCTOS311036		Osteoarthritis basilar joint of thumb	37895003	2921158017	32
3838831000006112	99	^ESCTOS383883		Osteoarthritis - ankle/foot	82300000	1788192017	31
7380001000006110	98	^ESCTOS738000		Osteoarthritis of patellofemoral joint	450521003	2916298014	32
3110351000006113	85	^ESCTOS311035		Osteoarthritis of first carpometacarpal joint	37895003	486887012	32
8448121000006113	76	^ESCTOS844812		Osteoarthritis of left foot	1074491000119107	3320387011	31
989371000006119	73	N05zL-99	N05zL99	Osteoarthritis - knee joint	667531000000106	989371000006119	32
